id,name,continent,subregion,driving_side,area,population,gdp_per_capita,Armed Forces size,Capital/Major City,GDP,Latitude,Longitude,hemisphere,pop_density,is_landlocked,timezone_count,unesco_sites,population_cat,area_cat,GDP_cat,gdp_per_capita_cat,armed_forces_cat,pop_density_cat,timezone_cat,unesco_cat,latitude_cat,longitude_cat,olympics_hosted_count,olympics_latest_year
URY,Uruguay,Americas,Latin America And The Caribbean,Right,176220,3423108,22565,22000,Montevideo,56045912952,-32.522779,-55.765835,South,19.43,False,1,3,2.6M-6.0M,88.2K-206.5K km²,Developing ($25B-$100B),$13.9K-$32.6K,10K-50K,2-19 /km²,1,3-5,Deep South (< -30°),Americas (-100° to -50°),0,0
BIH,Bosnia and Herzegovina,Europe,Southeast Europe,Right,51209,3422000,-1,-1,Sarajevo,-1,44.0,18.0,North,66.82,False,1,4,2.6M-6.0M,28.8K-88.2K km²,Unknown,Unknown,Unknown,44-72 /km²,1,3-5,Temperate (40° to 55°),Europe/Africa (0° to 30°),1,1984
QAT,Qatar,Asia,Western Asia,Right,11586,3173024,-1,-1,Doha,-1,25.5,51.25,North,273.87,False,1,1,2.6M-6.0M,2.8K-28.8K km²,Unknown,Unknown,Unknown,161-302 /km²,1,1-2,Subtropical (25° to 40°),Middle East (30° to 60°),0,0
LTU,Lithuania,Europe,Northern Europe,Right,65290,2871897,27103,34000,Vilnius,54219315600,55.169438,23.881275,North,43.99,False,1,4,2.6M-6.0M,28.8K-88.2K km²,Developing ($25B-$100B),$13.9K-$32.6K,10K-50K,19-44 /km²,1,3-5,Northern (55°+),Europe/Africa (0° to 30°),0,0
JAM,Jamaica,Americas,Latin America And The Caribbean,Left,10990,2825544,6874,4000,"Kingston, Jamaica",16458071068,18.109581,-77.297508,North,257.1,False,1,1,2.6M-6.0M,2.8K-28.8K km²,Small ($5B-$25B),$3.8K-$7.2K,1-10K,161-302 /km²,1,1-2,Tropical (10° to 25°),Americas (-100° to -50°),0,0
ARM,Armenia,Asia,Western Asia,Right,29740,2777970,8716,49000,Yerevan,13672802158,40.069099,45.038189,North,93.41,True,1,3,2.6M-6.0M,28.8K-88.2K km²,Small ($5B-$25B),$7.2K-$13.9K,10K-50K,72-103 /km²,1,3-5,Temperate (40° to 55°),Middle East (30° to 60°),0,0
ALB,Albania,Europe,Southern Europe,Right,28750,2745972,8368,9000,Tirana,15278077447,41.153332,20.168331,North,95.51,False,1,4,2.6M-6.0M,2.8K-28.8K km²,Small ($5B-$25B),$7.2K-$13.9K,1-10K,72-103 /km²,1,3-5,Temperate (40° to 55°),Europe/Africa (0° to 30°),0,0
BWA,Botswana,Africa,Sub-Saharan Africa,Left,581730,2675352,7250,9000,Gaborone,18340510789,-22.328474,24.684866,South,4.6,True,1,2,2.6M-6.0M,456.9K-1.0M km²,Small ($5B-$25B),$7.2K-$13.9K,1-10K,2-19 /km²,1,1-2,Southern (-30° to -10°),Europe/Africa (0° to 30°),0,0
NAM,Namibia,Africa,Sub-Saharan Africa,Left,824290,2604172,4743,16000,Windhoek,12366527719,-22.95764,18.49041,South,3.16,False,1,2,512.5K-2.6M,456.9K-1.0M km²,Small ($5B-$25B),$3.8K-$7.2K,10K-50K,2-19 /km²,1,1-2,Southern (-30° to -10°),Europe/Africa (0° to 30°),0,0
MDA,Moldova,Europe,Eastern Europe,Right,33850,2486891,6651,7000,Chi����,11955435457,47.411631,28.369885,North,73.47,True,1,1,512.5K-2.6M,28.8K-88.2K km²,Small ($5B-$25B),$3.8K-$7.2K,1-10K,72-103 /km²,1,1-2,Temperate (40° to 55°),Europe/Africa (0° to 30°),0,0
