id,name,continent,subregion,driving_side,area,population,gdp_per_capita,Armed Forces size,Capital/Major City,GDP,Latitude,Longitude,hemisphere,pop_density,is_landlocked,timezone_count,unesco_sites,population_cat,area_cat,GDP_cat,gdp_per_capita_cat,armed_forces_cat,pop_density_cat,timezone_cat,unesco_cat,latitude_cat,longitude_cat,olympics_hosted_count,olympics_latest_year
IND,India,Asia,Southern Asia,Left,3287260,1428627663,2485,3031000,New Delhi,2611000000000,20.593684,78.96288,North,434.6,False,1,42,51.8M-1.4B,1.0M-17.1M km²,Giant ($2T-$10T),$1.6K-$3.8K,500K+,302-19.0K /km²,1,26+,Tropical (10° to 25°),Central Asia (60° to 100°),0,0
CHN,China,Asia,Eastern Asia,Right,9562910,1410710000,12614,2695000,Beijing,19910000000000,35.86166,104.195397,North,147.52,False,1,57,51.8M-1.4B,1.0M-17.1M km²,Superpower ($10T+),$7.2K-$13.9K,500K+,103-161 /km²,1,26+,Subtropical (25° to 40°),East Asia (100° to 140°),2,2022
USA,United States,Americas,Northern America,Right,9831510,334914895,81695,1359000,"Washington, D.C.",21427700000000,37.09024,-95.712891,North,34.07,False,11,25,51.8M-1.4B,1.0M-17.1M km²,Superpower ($10T+),$32.6K-$128.3K,500K+,19-44 /km²,6+,11-25,Subtropical (25° to 40°),Americas (-100° to -50°),8,2028
IDN,Indonesia,Asia,South-Eastern Asia,Left,1916907,277534122,4941,676000,Jakarta,1119190780753,-0.789275,113.921327,South,144.78,False,3,10,51.8M-1.4B,1.0M-17.1M km²,Major ($500B-$2T),$3.8K-$7.2K,500K+,103-161 /km²,3-5,6-10,Equatorial (-10° to 10°),East Asia (100° to 140°),0,0
PAK,Pakistan,Asia,Southern Asia,Left,796100,240485658,1407,936000,Islamabad,304400000000,30.375321,69.345116,North,302.08,False,1,6,51.8M-1.4B,456.9K-1.0M km²,Mid-Size ($100B-$500B),$200-$1.6K,500K+,161-302 /km²,1,6-10,Subtropical (25° to 40°),Central Asia (60° to 100°),0,0
NGA,Nigeria,Africa,Sub-Saharan Africa,Right,923770,223804632,1621,215000,Abuja,448120428859,9.081999,8.675277,North,242.27,False,1,2,51.8M-1.4B,456.9K-1.0M km²,Mid-Size ($100B-$500B),$1.6K-$3.8K,150K-500K,161-302 /km²,1,1-2,Equatorial (-10° to 10°),Europe/Africa (0° to 30°),0,0
BRA,Brazil,Americas,Latin America And The Caribbean,Right,8515770,216422446,10044,730000,Bras���,1839758040766,-14.235004,-51.92528,South,25.41,False,4,23,51.8M-1.4B,1.0M-17.1M km²,Major ($500B-$2T),$7.2K-$13.9K,500K+,19-44 /km²,3-5,11-25,Southern (-30° to -10°),Americas (-100° to -50°),1,2016
BGD,Bangladesh,Asia,Southern Asia,Left,147570,172954319,2529,221000,Dhaka,302571254131,23.684994,90.356331,North,1172.02,False,1,3,51.8M-1.4B,88.2K-206.5K km²,Mid-Size ($100B-$500B),$1.6K-$3.8K,150K-500K,302-19.0K /km²,1,3-5,Tropical (10° to 25°),Central Asia (60° to 100°),0,0
RUS,Russia,Europe,Eastern Europe,Right,17098250,143826130,13817,1454000,Moscow,1699876578871,61.52401,105.318756,North,8.41,False,9,32,51.8M-1.4B,1.0M-17.1M km²,Major ($500B-$2T),$7.2K-$13.9K,500K+,2-19 /km²,6+,26+,Northern (55°+),East Asia (100° to 140°),2,2014
MEX,Mexico,Americas,Latin America And The Caribbean,Right,1964375,128455567,13926,336000,Mexico City,1258286717125,23.634501,-102.552784,North,65.39,False,3,35,51.8M-1.4B,1.0M-17.1M km²,Major ($500B-$2T),$13.9K-$32.6K,150K-500K,44-72 /km²,3-5,26+,Tropical (10° to 25°),Far West (< -100°),1,1968
ETH,Ethiopia,Africa,Sub-Saharan Africa,Right,1136240,126527060,1294,138000,Addis Ababa,96107662398,9.145,40.489673,North,111.36,True,1,11,51.8M-1.4B,1.0M-17.1M km²,Developing ($25B-$100B),$200-$1.6K,50K-150K,103-161 /km²,1,11-25,Equatorial (-10° to 10°),Middle East (30° to 60°),0,0
JPN,Japan,Asia,Eastern Asia,Left,377974,124516650,33834,261000,Tokyo,5081769542380,36.204824,138.252924,North,329.43,False,1,26,51.8M-1.4B,206.5K-456.9K km²,Giant ($2T-$10T),$32.6K-$128.3K,150K-500K,302-19.0K /km²,1,26+,Subtropical (25° to 40°),East Asia (100° to 140°),4,2020
PHL,Philippines,Asia,South-Eastern Asia,Right,300000,117337368,3726,153000,Manila,376795508680,12.879721,121.774017,North,391.12,False,1,6,51.8M-1.4B,206.5K-456.9K km²,Mid-Size ($100B-$500B),$1.6K-$3.8K,150K-500K,302-19.0K /km²,1,6-10,Tropical (10° to 25°),East Asia (100° to 140°),0,0
COD,DR Congo,Africa,Middle Africa,Right,2344858,112832000,-1,-1,Kinshasa,-1,0.0,25.0,North,48.12,False,2,5,51.8M-1.4B,1.0M-17.1M km²,Unknown,Unknown,Unknown,44-72 /km²,2,3-5,Equatorial (-10° to 10°),Europe/Africa (0° to 30°),0,0
EGY,Egypt,Africa,Northern Africa,Right,1001450,112716598,3513,836000,Cairo,303175127598,26.820553,30.802498,North,112.55,False,1,7,51.8M-1.4B,456.9K-1.0M km²,Mid-Size ($100B-$500B),$1.6K-$3.8K,500K+,103-161 /km²,1,6-10,Subtropical (25° to 40°),Middle East (30° to 60°),0,0
VNM,Vietnam,Asia,South-Eastern Asia,Right,331340,98858950,4347,522000,Hanoi,261921244843,14.058324,108.277199,North,298.36,False,1,8,51.8M-1.4B,206.5K-456.9K km²,Mid-Size ($100B-$500B),$3.8K-$7.2K,500K+,161-302 /km²,1,6-10,Tropical (10° to 25°),East Asia (100° to 140°),0,0
IRN,Iran,Asia,Southern Asia,Right,1745150,89172767,4503,563000,Tehran,445345282123,32.427908,53.688046,North,51.1,False,1,28,51.8M-1.4B,1.0M-17.1M km²,Mid-Size ($100B-$500B),$3.8K-$7.2K,500K+,44-72 /km²,1,26+,Subtropical (25° to 40°),Middle East (30° to 60°),0,0
TUR,Turkey,Asia,Western Asia,Right,785350,85326000,12986,512000,Ankara,754411708203,38.963745,35.243322,North,108.65,False,1,21,51.8M-1.4B,456.9K-1.0M km²,Major ($500B-$2T),$7.2K-$13.9K,500K+,103-161 /km²,1,11-25,Subtropical (25° to 40°),Middle East (30° to 60°),0,0
DEU,Germany,Europe,Western Europe,Right,357590,84482267,52746,180000,Berlin,3845630030824,51.165691,10.451526,North,236.25,False,1,52,51.8M-1.4B,206.5K-456.9K km²,Giant ($2T-$10T),$32.6K-$128.3K,150K-500K,161-302 /km²,1,26+,Temperate (40° to 55°),Europe/Africa (0° to 30°),2,1972
THA,Thailand,Asia,South-Eastern Asia,Left,513120,71801279,7172,455000,Bangkok,543649976166,15.870032,100.992541,North,139.93,False,1,7,51.8M-1.4B,456.9K-1.0M km²,Major ($500B-$2T),$7.2K-$13.9K,150K-500K,103-161 /km²,1,6-10,Tropical (10° to 25°),East Asia (100° to 140°),0,0
GBR,United Kingdom,Europe,Northern Europe,Left,243610,68350000,48867,148000,London,2827113184696,55.378051,-3.435973,North,280.57,False,9,34,51.8M-1.4B,206.5K-456.9K km²,Giant ($2T-$10T),$32.6K-$128.3K,50K-150K,161-302 /km²,6+,26+,Northern (55°+),Atlantic (-50° to 0°),3,2012
FRA,France,Europe,Western Europe,Right,549087,68170228,44461,307000,Paris,2715518274227,46.227638,2.213749,North,124.15,False,14,52,51.8M-1.4B,456.9K-1.0M km²,Giant ($2T-$10T),$32.6K-$128.3K,150K-500K,103-161 /km²,6+,26+,Temperate (40° to 55°),Europe/Africa (0° to 30°),5,2024
TZA,Tanzania,Africa,Sub-Saharan Africa,Left,947300,67438106,1211,28000,Dodoma,63177068175,-6.369028,34.888822,South,71.19,False,1,7,51.8M-1.4B,456.9K-1.0M km²,Developing ($25B-$100B),$200-$1.6K,10K-50K,44-72 /km²,1,6-10,Equatorial (-10° to 10°),Middle East (30° to 60°),0,0
ZAF,South Africa,Africa,Sub-Saharan Africa,Left,1219090,60414495,6253,80000,Pretoria,351431649241,-30.559482,22.937506,South,49.56,False,1,10,51.8M-1.4B,1.0M-17.1M km²,Mid-Size ($100B-$500B),$3.8K-$7.2K,50K-150K,44-72 /km²,1,6-10,Deep South (< -30°),Europe/Africa (0° to 30°),0,0
ITA,Italy,Europe,Southern Europe,Right,302068,58761146,38373,347000,Rome,2001244392042,41.87194,12.56738,North,194.53,False,1,59,51.8M-1.4B,206.5K-456.9K km²,Giant ($2T-$10T),$32.6K-$128.3K,150K-500K,161-302 /km²,1,26+,Temperate (40° to 55°),Europe/Africa (0° to 30°),4,2026
KEN,Kenya,Africa,Sub-Saharan Africa,Left,580370,55100586,1950,29000,Nairobi,95503088538,-0.023559,37.906193,South,94.94,False,1,7,51.8M-1.4B,456.9K-1.0M km²,Developing ($25B-$100B),$1.6K-$3.8K,10K-50K,72-103 /km²,1,6-10,Equatorial (-10° to 10°),Middle East (30° to 60°),0,0
MMR,Myanmar,Asia,South-Eastern Asia,Right,676590,54577997,1188,513000,Naypyidaw,76085852617,21.916221,95.955974,North,80.67,False,1,2,51.8M-1.4B,456.9K-1.0M km²,Developing ($25B-$100B),$200-$1.6K,500K+,72-103 /km²,1,1-2,Tropical (10° to 25°),Central Asia (60° to 100°),0,0
COL,Colombia,Americas,Latin America And The Caribbean,Right,1140619,52085168,6980,481000,Bogot�,323802808108,4.570868,-74.297333,North,45.66,False,1,9,51.8M-1.4B,1.0M-17.1M km²,Mid-Size ($100B-$500B),$3.8K-$7.2K,150K-500K,44-72 /km²,1,6-10,Equatorial (-10° to 10°),Americas (-100° to -50°),0,0
KOR,South Korea,Asia,Eastern Asia,Right,100430,51712619,33121,634000,Seoul,2029000000000,35.907757,127.766922,North,514.91,False,1,16,25.8M-51.8M,88.2K-206.5K km²,Giant ($2T-$10T),$32.6K-$128.3K,500K+,302-19.0K /km²,1,11-25,Subtropical (25° to 40°),East Asia (100° to 140°),2,2018
UGA,Uganda,Africa,Sub-Saharan Africa,Left,241550,48582334,1014,46000,Kampala,34387229486,1.373333,32.290275,North,201.13,True,1,3,25.8M-51.8M,206.5K-456.9K km²,Developing ($25B-$100B),$200-$1.6K,10K-50K,161-302 /km²,1,3-5,Equatorial (-10° to 10°),Middle East (30° to 60°),0,0
ESP,Spain,Europe,Southern Europe,Right,505965,48373336,32677,196000,Madrid,1394116310769,40.463667,-3.74922,North,95.61,False,2,50,25.8M-51.8M,456.9K-1.0M km²,Major ($500B-$2T),$32.6K-$128.3K,150K-500K,72-103 /km²,2,26+,Temperate (40° to 55°),Atlantic (-50° to 0°),1,1992
SDN,Sudan,Africa,Northern Africa,Right,1878000,48109006,2272,124000,Khartoum,18902284476,12.862807,30.217636,North,25.62,False,1,3,25.8M-51.8M,1.0M-17.1M km²,Small ($5B-$25B),$1.6K-$3.8K,50K-150K,19-44 /km²,1,3-5,Tropical (10° to 25°),Middle East (30° to 60°),0,0
ARG,Argentina,Americas,Latin America And The Caribbean,Right,2780400,46654581,13731,105000,Buenos Aires,449663446954,-38.416097,-63.616672,South,16.78,False,1,12,25.8M-51.8M,1.0M-17.1M km²,Mid-Size ($100B-$500B),$7.2K-$13.9K,50K-150K,2-19 /km²,1,11-25,Deep South (< -30°),Americas (-100° to -50°),0,0
DZA,Algeria,Africa,Northern Africa,Right,2381741,45606480,5260,317000,Algiers,169988236398,28.033886,1.659626,North,19.15,False,1,7,25.8M-51.8M,1.0M-17.1M km²,Mid-Size ($100B-$500B),$3.8K-$7.2K,150K-500K,2-19 /km²,1,6-10,Subtropical (25° to 40°),Europe/Africa (0° to 30°),0,0
IRQ,Iraq,Asia,Western Asia,Right,435050,45504560,5512,209000,Baghdad,234094042939,33.223191,43.679291,North,104.6,False,1,6,25.8M-51.8M,206.5K-456.9K km²,Mid-Size ($100B-$500B),$3.8K-$7.2K,150K-500K,103-161 /km²,1,6-10,Subtropical (25° to 40°),Middle East (30° to 60°),0,0
AFG,Afghanistan,Asia,Southern Asia,Right,652230,43844000,-1,-1,Kabul,-1,33.0,65.0,North,67.22,True,1,2,25.8M-51.8M,456.9K-1.0M km²,Unknown,Unknown,Unknown,44-72 /km²,1,1-2,Subtropical (25° to 40°),Central Asia (60° to 100°),0,0
CAN,Canada,Americas,Northern America,Right,15634410,40097761,53372,72000,Ottawa,1736425629520,56.130366,-106.346771,North,2.56,False,6,22,25.8M-51.8M,1.0M-17.1M km²,Major ($500B-$2T),$32.6K-$128.3K,50K-150K,2-19 /km²,6+,11-25,Northern (55°+),Far West (< -100°),3,2010
MAR,Morocco,Africa,Northern Africa,Right,446550,37840044,3672,246000,Rabat,118725279596,31.791702,-7.09262,North,84.74,False,1,9,25.8M-51.8M,206.5K-456.9K km²,Mid-Size ($100B-$500B),$1.6K-$3.8K,150K-500K,72-103 /km²,1,6-10,Subtropical (25° to 40°),Atlantic (-50° to 0°),0,0
UKR,Ukraine,Europe,Eastern Europe,Right,603550,37000000,5181,297000,Kyiv,153781069118,48.379433,31.16558,North,61.3,False,1,8,25.8M-51.8M,456.9K-1.0M km²,Mid-Size ($100B-$500B),$3.8K-$7.2K,150K-500K,44-72 /km²,1,6-10,Temperate (40° to 55°),Middle East (30° to 60°),0,0
SAU,Saudi Arabia,Asia,Western Asia,Right,2149690,36947025,28895,252000,Riyadh,792966838162,23.885942,45.079162,North,17.19,False,1,7,25.8M-51.8M,1.0M-17.1M km²,Major ($500B-$2T),$13.9K-$32.6K,150K-500K,2-19 /km²,1,6-10,Tropical (10° to 25°),Middle East (30° to 60°),0,0
POL,Poland,Europe,Eastern Europe,Right,312710,36685849,22113,191000,Warsaw,592164400688,51.919438,19.145136,North,117.32,False,1,18,25.8M-51.8M,206.5K-456.9K km²,Major ($500B-$2T),$13.9K-$32.6K,150K-500K,103-161 /km²,1,11-25,Temperate (40° to 55°),Europe/Africa (0° to 30°),0,0
AGO,Angola,Africa,Sub-Saharan Africa,Right,1246700,36684202,2310,117000,Luanda,94635415870,-11.202692,17.873887,South,29.43,False,1,0,25.8M-51.8M,1.0M-17.1M km²,Developing ($25B-$100B),$1.6K-$3.8K,50K-150K,19-44 /km²,1,0,Southern (-30° to -10°),Europe/Africa (0° to 30°),0,0
UZB,Uzbekistan,Asia,Central Asia,Right,448924,36412350,2496,68000,Tashkent,57921286440,41.377491,64.585262,North,81.11,True,1,7,25.8M-51.8M,206.5K-456.9K km²,Developing ($25B-$100B),$1.6K-$3.8K,50K-150K,72-103 /km²,1,6-10,Temperate (40° to 55°),Central Asia (60° to 100°),0,0
YEM,Yemen,Asia,Western Asia,Right,527970,34449825,533,40000,Sanaa,26914402224,15.552727,48.516388,North,65.25,False,1,5,25.8M-51.8M,456.9K-1.0M km²,Developing ($25B-$100B),$200-$1.6K,10K-50K,44-72 /km²,1,3-5,Tropical (10° to 25°),Middle East (30° to 60°),0,0
PER,Peru,Americas,Latin America And The Caribbean,Right,1285220,34352719,7790,158000,Lima,226848050820,-9.189967,-75.015152,South,26.73,False,1,13,25.8M-51.8M,1.0M-17.1M km²,Mid-Size ($100B-$500B),$7.2K-$13.9K,150K-500K,19-44 /km²,1,11-25,Equatorial (-10° to 10°),Americas (-100° to -50°),0,0
MYS,Malaysia,Asia,South-Eastern Asia,Left,330411,34308525,11649,136000,Kuala Lumpur,364701517788,4.210484,101.975766,North,103.84,False,1,4,25.8M-51.8M,206.5K-456.9K km²,Mid-Size ($100B-$500B),$7.2K-$13.9K,50K-150K,103-161 /km²,1,3-5,Equatorial (-10° to 10°),East Asia (100° to 140°),0,0
GHA,Ghana,Africa,Sub-Saharan Africa,Right,238530,34121985,2238,16000,Accra,66983634224,7.946527,-1.023194,North,143.05,False,1,2,25.8M-51.8M,206.5K-456.9K km²,Developing ($25B-$100B),$1.6K-$3.8K,10K-50K,103-161 /km²,1,1-2,Equatorial (-10° to 10°),Atlantic (-50° to 0°),0,0
MOZ,Mozambique,Africa,Sub-Saharan Africa,Left,799380,33897354,608,11000,Maputo,14934159926,-18.665695,35.529562,South,42.4,False,1,1,25.8M-51.8M,456.9K-1.0M km²,Small ($5B-$25B),$200-$1.6K,10K-50K,19-44 /km²,1,1-2,Southern (-30° to -10°),Middle East (30° to 60°),0,0
CIV,Ivory Coast,Africa,Western Africa,Right,322463,31719275,-1,-1,Yamoussoukro,-1,8.0,-5.0,North,98.37,False,1,5,25.8M-51.8M,206.5K-456.9K km²,Unknown,Unknown,Unknown,72-103 /km²,1,3-5,Equatorial (-10° to 10°),Atlantic (-50° to 0°),0,0
NPL,Nepal,Asia,Southern Asia,Left,147180,30896590,1324,112000,Kathmandu,30641380604,28.394857,84.124008,North,209.92,True,1,4,25.8M-51.8M,88.2K-206.5K km²,Developing ($25B-$100B),$200-$1.6K,50K-150K,161-302 /km²,1,3-5,Subtropical (25° to 40°),Central Asia (60° to 100°),0,0
MDG,Madagascar,Africa,Sub-Saharan Africa,Right,587295,30325732,529,22000,Antananarivo,14083906357,-18.766947,46.869107,South,51.64,False,1,3,25.8M-51.8M,456.9K-1.0M km²,Small ($5B-$25B),$200-$1.6K,10K-50K,44-72 /km²,1,3-5,Southern (-30° to -10°),Middle East (30° to 60°),0,0
CMR,Cameroon,Africa,Sub-Saharan Africa,Right,475440,28647293,1674,24000,Yaound�,38760467033,7.369722,12.354722,North,60.25,False,1,2,25.8M-51.8M,456.9K-1.0M km²,Developing ($25B-$100B),$1.6K-$3.8K,10K-50K,44-72 /km²,1,1-2,Equatorial (-10° to 10°),Europe/Africa (0° to 30°),0,0
VEN,Venezuela,Americas,South America,Right,916445,28517000,-1,-1,Caracas,-1,8.0,-66.0,North,31.12,False,1,3,25.8M-51.8M,456.9K-1.0M km²,Unknown,Unknown,Unknown,19-44 /km²,1,3-5,Equatorial (-10° to 10°),Americas (-100° to -50°),0,0
NER,Niger,Africa,Sub-Saharan Africa,Right,1267000,27202843,618,10000,Niamey,12928145120,17.607789,8.081666,North,21.47,True,1,3,25.8M-51.8M,1.0M-17.1M km²,Small ($5B-$25B),$200-$1.6K,1-10K,19-44 /km²,1,3-5,Tropical (10° to 25°),Europe/Africa (0° to 30°),0,0
AUS,Australia,Oceania,Australia And New Zealand,Left,7741220,26638544,64712,58000,Canberra,1392680589329,-25.274398,133.775136,South,3.44,False,8,20,25.8M-51.8M,1.0M-17.1M km²,Major ($500B-$2T),$32.6K-$128.3K,50K-150K,2-19 /km²,6+,11-25,Southern (-30° to -10°),East Asia (100° to 140°),2,2000
PRK,North Korea,Asia,Eastern Asia,Right,120538,25950000,-1,-1,Pyongyang,-1,40.0,127.0,North,215.28,False,1,2,25.8M-51.8M,88.2K-206.5K km²,Unknown,Unknown,Unknown,161-302 /km²,1,1-2,Temperate (40° to 55°),East Asia (100° to 140°),0,0
SYR,Syria,Asia,Western Asia,Right,185180,25620000,-1,-1,Damascus,-1,35.0,38.0,North,138.35,False,1,6,11.3M-25.8M,88.2K-206.5K km²,Unknown,Unknown,Unknown,103-161 /km²,1,6-10,Subtropical (25° to 40°),Middle East (30° to 60°),0,0
MLI,Mali,Africa,Sub-Saharan Africa,Right,1240190,23293698,897,18000,Bamako,17510141171,17.570692,-3.996166,North,18.78,True,1,4,11.3M-25.8M,1.0M-17.1M km²,Small ($5B-$25B),$200-$1.6K,10K-50K,2-19 /km²,1,3-5,Tropical (10° to 25°),Atlantic (-50° to 0°),0,0
BFA,Burkina Faso,Africa,Sub-Saharan Africa,Right,274220,23251485,874,11000,Ouagadougou,15745810235,12.238333,-1.561593,North,84.79,True,1,3,11.3M-25.8M,206.5K-456.9K km²,Small ($5B-$25B),$200-$1.6K,10K-50K,72-103 /km²,1,3-5,Tropical (10° to 25°),Atlantic (-50° to 0°),0,0
LKA,Sri Lanka,Asia,Southern Asia,Left,65610,22037000,3828,317000,Colombo,84008783756,7.873054,80.771797,North,335.88,False,1,8,11.3M-25.8M,28.8K-88.2K km²,Developing ($25B-$100B),$3.8K-$7.2K,150K-500K,302-19.0K /km²,1,6-10,Equatorial (-10° to 10°),Central Asia (60° to 100°),0,0
MWI,Malawi,Africa,Sub-Saharan Africa,Left,118480,20931751,673,15000,Lilongwe,7666704427,-13.254308,34.301525,South,176.67,True,1,2,11.3M-25.8M,88.2K-206.5K km²,Small ($5B-$25B),$200-$1.6K,10K-50K,161-302 /km²,1,1-2,Southern (-30° to -10°),Middle East (30° to 60°),0,0
ZMB,Zambia,Africa,Sub-Saharan Africa,Left,752610,20569737,1369,16000,Lusaka,23064722446,-13.133897,27.849332,South,27.33,True,1,1,11.3M-25.8M,456.9K-1.0M km²,Small ($5B-$25B),$200-$1.6K,10K-50K,19-44 /km²,1,1-2,Southern (-30° to -10°),Europe/Africa (0° to 30°),0,0
KAZ,Kazakhstan,Asia,Central Asia,Right,2724900,19900177,13137,71000,Astana,180161741180,48.019573,66.923684,North,7.3,True,2,6,11.3M-25.8M,1.0M-17.1M km²,Mid-Size ($100B-$500B),$7.2K-$13.9K,50K-150K,2-19 /km²,2,6-10,Temperate (40° to 55°),Central Asia (60° to 100°),0,0
CHL,Chile,Americas,Latin America And The Caribbean,Right,756700,19629590,17093,122000,Santiago,282318159745,-35.675147,-71.542969,South,25.94,False,2,7,11.3M-25.8M,456.9K-1.0M km²,Mid-Size ($100B-$500B),$13.9K-$32.6K,50K-150K,19-44 /km²,2,6-10,Deep South (< -30°),Americas (-100° to -50°),0,0
ROU,Romania,Europe,Eastern Europe,Right,238400,19056116,18419,126000,Bucharest,250077444017,45.943161,24.96676,North,79.93,False,1,9,11.3M-25.8M,206.5K-456.9K km²,Mid-Size ($100B-$500B),$13.9K-$32.6K,50K-150K,72-103 /km²,1,6-10,Temperate (40° to 55°),Europe/Africa (0° to 30°),0,0
TCD,Chad,Africa,Sub-Saharan Africa,Right,1284000,18278568,719,35000,N'Djamena,11314951343,15.454166,18.732207,North,14.24,True,1,2,11.3M-25.8M,1.0M-17.1M km²,Small ($5B-$25B),$200-$1.6K,10K-50K,2-19 /km²,1,1-2,Tropical (10° to 25°),Europe/Africa (0° to 30°),0,0
ECU,Ecuador,Americas,Latin America And The Caribbean,Right,256370,18190484,6533,41000,Quito,107435665000,-1.831239,-78.183406,South,70.95,False,2,5,11.3M-25.8M,206.5K-456.9K km²,Mid-Size ($100B-$500B),$3.8K-$7.2K,10K-50K,44-72 /km²,2,3-5,Equatorial (-10° to 10°),Americas (-100° to -50°),0,0
SOM,Somalia,Africa,Sub-Saharan Africa,Right,637660,18143378,644,20000,Mogadishu,4720727278,5.152149,46.199616,North,28.45,False,1,0,11.3M-25.8M,456.9K-1.0M km²,Micro (<$5B),$200-$1.6K,10K-50K,19-44 /km²,1,0,Equatorial (-10° to 10°),Middle East (30° to 60°),0,0
NLD,Netherlands,Europe,Western Europe,Right,41540,17879488,62537,41000,Amsterdam,909070395161,52.132633,5.291266,North,430.42,False,1,13,11.3M-25.8M,28.8K-88.2K km²,Major ($500B-$2T),$32.6K-$128.3K,10K-50K,302-19.0K /km²,1,11-25,Temperate (40° to 55°),Europe/Africa (0° to 30°),1,1928
SEN,Senegal,Africa,Sub-Saharan Africa,Right,196710,17763163,1746,19000,Dakar,23578084052,14.497401,-14.452362,North,90.3,False,1,7,11.3M-25.8M,88.2K-206.5K km²,Small ($5B-$25B),$1.6K-$3.8K,10K-50K,72-103 /km²,1,6-10,Tropical (10° to 25°),Atlantic (-50° to 0°),0,0
GTM,Guatemala,Americas,Latin America And The Caribbean,Right,108890,17602431,5798,43000,Guatemala City,76710385880,15.783471,-90.230759,North,161.65,False,1,3,11.3M-25.8M,88.2K-206.5K km²,Developing ($25B-$100B),$3.8K-$7.2K,10K-50K,161-302 /km²,1,3-5,Tropical (10° to 25°),Americas (-100° to -50°),0,0
KHM,Cambodia,Asia,South-Eastern Asia,Right,181040,16944826,1875,191000,Phnom Penh,27089389787,12.565679,104.990963,North,93.6,False,1,3,11.3M-25.8M,88.2K-206.5K km²,Developing ($25B-$100B),$1.6K-$3.8K,150K-500K,72-103 /km²,1,3-5,Tropical (10° to 25°),East Asia (100° to 140°),0,0
ZWE,Zimbabwe,Africa,Sub-Saharan Africa,Left,390760,16665409,1592,51000,Harare,21440758800,-19.015438,29.154857,South,42.65,True,1,5,11.3M-25.8M,206.5K-456.9K km²,Small ($5B-$25B),$200-$1.6K,50K-150K,19-44 /km²,1,3-5,Southern (-30° to -10°),Europe/Africa (0° to 30°),0,0
SSD,South Sudan,Africa,Middle Africa,Right,619745,15786898,-1,-1,Juba,-1,7.0,30.0,North,25.47,True,1,0,11.3M-25.8M,456.9K-1.0M km²,Unknown,Unknown,Unknown,19-44 /km²,1,0,Equatorial (-10° to 10°),Middle East (30° to 60°),0,0
GIN,Guinea,Africa,Sub-Saharan Africa,Right,245860,14190612,1664,13000,Conakry,13590281809,9.945587,-9.696645,North,57.72,False,1,1,11.3M-25.8M,206.5K-456.9K km²,Small ($5B-$25B),$1.6K-$3.8K,10K-50K,44-72 /km²,1,1-2,Equatorial (-10° to 10°),Atlantic (-50° to 0°),0,0
RWA,Rwanda,Africa,Sub-Saharan Africa,Right,26340,14094683,1000,35000,Kigali,10122472590,-1.940278,29.873888,South,535.11,True,1,2,11.3M-25.8M,2.8K-28.8K km²,Small ($5B-$25B),$200-$1.6K,10K-50K,302-19.0K /km²,1,1-2,Equatorial (-10° to 10°),Europe/Africa (0° to 30°),0,0
BEN,Benin,Africa,Sub-Saharan Africa,Right,114760,13712828,1435,12000,Porto-Novo,14390709095,9.30769,2.315834,North,119.49,False,1,2,11.3M-25.8M,88.2K-206.5K km²,Small ($5B-$25B),$200-$1.6K,10K-50K,103-161 /km²,1,1-2,Equatorial (-10° to 10°),Europe/Africa (0° to 30°),0,0
BDI,Burundi,Africa,Sub-Saharan Africa,Right,27830,13238559,200,31000,Bujumbura,3012334882,-3.373056,29.918886,South,475.69,True,1,0,11.3M-25.8M,2.8K-28.8K km²,Micro (<$5B),$200-$1.6K,10K-50K,302-19.0K /km²,1,0,Equatorial (-10° to 10°),Europe/Africa (0° to 30°),0,0
TUN,Tunisia,Africa,Northern Africa,Right,163610,12458223,3895,48000,Tunis,38797709924,33.886917,9.537499,North,76.15,False,1,9,11.3M-25.8M,88.2K-206.5K km²,Developing ($25B-$100B),$3.8K-$7.2K,10K-50K,72-103 /km²,1,6-10,Subtropical (25° to 40°),Europe/Africa (0° to 30°),0,0
BOL,Bolivia,Americas,Latin America And The Caribbean,Right,1098580,12388571,3701,71000,Sucre,40895322865,-16.290154,-63.588653,South,11.28,True,1,7,11.3M-25.8M,1.0M-17.1M km²,Developing ($25B-$100B),$1.6K-$3.8K,50K-150K,2-19 /km²,1,6-10,Southern (-30° to -10°),Americas (-100° to -50°),0,0
BEL,Belgium,Europe,Western Europe,Right,30530,11822592,53475,32000,City of Brussels,529606710418,50.503887,4.469936,North,387.25,False,1,16,11.3M-25.8M,28.8K-88.2K km²,Major ($500B-$2T),$32.6K-$128.3K,10K-50K,302-19.0K /km²,1,11-25,Temperate (40° to 55°),Europe/Africa (0° to 30°),1,1920
HTI,Haiti,Americas,Latin America And The Caribbean,Right,27750,11724763,1693,0,Port-au-Prince,8498981821,18.971187,-72.285215,North,422.51,False,1,1,11.3M-25.8M,2.8K-28.8K km²,Small ($5B-$25B),$1.6K-$3.8K,No Standing Army,302-19.0K /km²,1,1-2,Tropical (10° to 25°),Americas (-100° to -50°),0,0
JOR,Jordan,Asia,Western Asia,Right,89318,11337052,4482,116000,Amman,43743661972,30.585164,36.238414,North,126.93,False,1,6,11.3M-25.8M,88.2K-206.5K km²,Developing ($25B-$100B),$3.8K-$7.2K,50K-150K,103-161 /km²,1,6-10,Subtropical (25° to 40°),Middle East (30° to 60°),0,0
